"Knowledge base name","Article title","Article subtitle","Article language","Article URL","Article body","Category","Subcategory","Keywords","Last modified date","Status","Archived"
"Shovels Knowledge Base","Tracking New vs. Modified Records in EDL Updates","Using first_seen_date to identify new records in data deliveries","en","https://support.shovels.ai/faq/edl-record-changes","For Enterprise Data License (EDL) customers receiving monthly data overwrites, tracking whether a record is new versus pre-existing and modified can be accomplished using the first_seen_date field in the PERMITS table. While there isn't a specific change flag in the current data schema, this timestamp indicates when Shovels first discovered the permit in our data collection process. By comparing first_seen_date with your previous data delivery, you can identify new records where the first_seen_date falls after your last update. For modifications to existing records, you'll need to implement a comparison between the current and previous data deliveries, focusing on fields like status, valuation, or other attributes that might change over time. This approach requires maintaining a copy of previous deliveries for comparison purposes. We're actively working on enhancing our data delivery system to include explicit change tracking flags in future releases, which will simplify this process for customers who need to monitor specific changes in the permit landscape.","EDL","Data Updates","change tracking,first_seen_date,data updates,EDL,record modifications","1769212660064","PUBLISHED","false"
"Shovels Knowledge Base","Shovels' Key Differentiators","What sets Shovels apart from competitors in the permit data space","en","https://support.shovels.ai/faq/key-differentiators","Shovels differentiates itself through several key factors: 1) Very clean data - addresses are standardized to USPS format and geotagged with coordinates; 2) Comprehensive contractor data derived directly from permit metadata, including contractor grouping that links contractors under the same parent organization; 3) Modern data infrastructure using AI and machine learning, with a documented 98% accuracy validated by construction industry experts; 4) Sophisticated deduplication that maintains a unique identifier for each permit and updates records as permit statuses change, rather than creating duplicate entries.","Company","Market Position","contractor grouping,AI,differentiators,deduplication,clean data","1769213885447","PUBLISHED","false"
"Shovels Knowledge Base","Tracking Multiple Permits at a Single Property","How Shovels tracks and links multiple permits at the same location","en","https://support.shovels.ai/faq/tracking-multiple-permits","We use a system of unique IDs to track multiple permits at a single property. Each permit gets a unique permit ID that remains persistent throughout its lifecycle. Each address gets a unique address ID the first time it appears, allowing you to easily find and connect all permits at that location. Each contractor gets a unique contractor ID when they first appear on any permit. These IDs act as reference points that allow you to track and join related permits, addresses, and contractors in our database.","Data","Permit Data","unique IDs,multiple permits,permit tracking,address tracking","1769213939492","PUBLISHED","false"
"Shovels Knowledge Base","What is a Jurisdiction?","Understanding the governmental entities that issue permits","en","https://support.shovels.ai/faq/jurisdiction-definition","<p>In the context of Shovels data, a jurisdiction refers to the Authority Having Jurisdiction (AHJ) - the governmental body responsible for issuing building permits in a specific geographic area. This is typically either a county or a city government. Jurisdictions play a crucial role in the construction permitting process as they establish and enforce building codes, conduct inspections, and maintain official records of construction activities. Nationwide, there are approximately 20,000 different jurisdictions, each with their own specific requirements, processes, and data formats. Shovels has standardized data from over 1,400 jurisdictions, covering approximately 80% of the US population. Understanding which jurisdiction governs a particular property is essential for contractors and service providers, as it determines which rules apply and which office must approve permits. Shovels maintains a comprehensive list of all jurisdictions we cover, which is available on our blog.</p>
<p>Learn more: <a href=""https://www.shovels.ai/blog/ahj-in-construction/"" target=""_blank"" rel=""noopener"">https://www.shovels.ai/blog/ahj-in-construction/</a></p>","General","Terminology","permit authority,AHJ,jurisdiction,building department,regulatory body","1769214045139","PUBLISHED","false"
"Shovels Knowledge Base","Regional Variations in Contractor Data Coverage","There are differences is coverage by US geographical region","en","https://support.shovels.ai/faq/contractor-coverage-nuances","Shovels' contractor data includes whatever information is provided on the permits themselves, with coverage quality varying by region. We have strong coverage on the West Coast, in New York, and in certain areas of the Midwest. However, coverage in Upstate New York is not as comprehensive. Massachusetts presents challenges due to its township structure, where permit data and contractor details aren't always readily available online. Similarly, New Jersey has limitations because the state doesn't typically include contractor data on permits. These regional variations reflect the different reporting requirements and data availability across jurisdictions.","Data","Contractor Data","jurisdictional differences,data completeness,contractor coverage,regional variations","1751229781944","PUBLISHED","false"
"Shovels Knowledge Base","State and Zip Code Validation in Address Searches","Understanding address search behavior with incorrect location parameters","en","https://support.shovels.ai/faq/api-geo-id-state-zip-validation","When using Shovels' API for address searches, it's important to understand that state and zip code parameters are not validated as part of geo_id resolution. If you provide an incorrect state or zip code when searching for addresses, you won't receive an explicit error message. Instead, the API will return an empty result set (null items), indicating no matching address was found. This behavior is by design to accommodate variations in how addresses might be recorded across different jurisdictions. For the most reliable results, we recommend providing as accurate address information as possible, particularly focusing on street name, number, and city. If you're consistently getting empty results for addresses you believe should exist in our system, double-check that you're using the correct state and zip code information. Our system uses multiple address verification sources including the National Address Dataset, Open Address dataset, Simple Maps, and ESRI to ensure the highest possible accuracy in address matching.","API","Address Resolution","empty results,API,address validation,error handling,geo_id","1751085205059","PUBLISHED","false"
"Shovels Knowledge Base","Handling Errors with geo_id","Managing invalid geolocation IDs in API requests","en","https://support.shovels.ai/faq/api-geo-id-error-handling","When working with Shovels' API, proper handling of geo_id errors is essential for smooth application performance. If you provide an invalid geo_id when querying permits, you'll typically receive a 422 Unprocessable Entity response with the message: ""Invalid geolocation ID value. Have you resolved your address into Shovels geolocation ID?"" This indicates that the geo_id format is incorrect or hasn't been properly obtained through our address resolution endpoint. However, it's important to note that if the format of the geo_id is technically valid but doesn't correspond to any known address or permit in our system, you won't receive an error. Instead, the response will contain no results (an empty items array with a 200 OK status). To avoid these issues, always begin your workflow by resolving addresses through our Address Search API before attempting to query permits with the resulting geo_id. Implementing proper error handling in your application for both 422 responses and empty result sets will improve user experience and help troubleshoot integration issues.","API","Error Management","422 error,API,address resolution,error handling,geo_id","1751085205516","PUBLISHED","false"
"Shovels Knowledge Base","Source of Coordinate Data","How Shovels determines the geographic coordinates for addresses","en","https://support.shovels.ai/faq/coordinate-data-source","The latitude and longitude coordinates in our data are geocoded addresses. This geocoding process is done in-house at Shovels to ensure accuracy and consistency across our database.","Data","Geographic Information","geographic data,geocoding,latitude,coordinates,longitude","1751085182510","PUBLISHED","false"
"Shovels Knowledge Base","Tracking Multiple Permits on the Same Property","How our ID system connects related permits at the same location","en","https://support.shovels.ai/faq/multiple-permits-tracking","Shovels uses a robust system of unique IDs to track multiple permits at a single property. Each permit receives a unique permit ID that remains consistent throughout its lifecycle, from application to completion. Each address gets a unique address ID the first time it appears in our system, allowing you to easily connect all permits associated with that location. Similarly, each contractor receives a unique contractor ID when they first appear on any permit. These IDs act as reference points (foreign keys) that enable you to track and join related permits, addresses, and contractors in our database. For example, you can use the address ID to find all permits associated with a specific property, even if the address is written differently across different permits. This system is particularly valuable for tracking property improvements over time, identifying contractors who frequently work at the same location, or analyzing permitting patterns for specific properties. Our consistent ID system makes it simple to build relationships between different data points, enabling sophisticated analysis of construction activity.","Data","Technical Specifications","unique IDs,multiple permits,data relationships,property tracking","1751085187733","PUBLISHED","false"
"Shovels Knowledge Base","Complete List of Jurisdictions","Where to find our complete list of covered jurisdictions","en","https://support.shovels.ai/faq/jurisdiction-list","Yes, Shovels maintains a comprehensive list of all building permit jurisdictions we cover. This list is publicly available on our blog at https://www.shovels.ai/blog/list-of-all-building-permit-jurisdictions/. The list includes approximately 2,000 jurisdictions, representing about 85% of the US population. Each jurisdiction is an Authority Having Jurisdiction (AHJ) - typically a county or city government responsible for issuing building permits in its&nbsp;area. Our coverage continues to expand, with 10-30 new jurisdictions added each month. The jurisdictions we cover follow a power law distribution: about 15% of jurisdictions represent approximately 85% of the US population, while the remaining 85% of jurisdictions cover just 15% of the population. This is why we prioritize larger jurisdictions while continuously expanding into smaller ones. The jurisdiction list is regularly updated as we add new coverage areas, so checking the link periodically will provide the most current information on our geographic coverage.","Coverage","Geographic Coverage","coverage,building departments,geographic areas,permit authorities,jurisdictions","1763157510396","PUBLISHED","false"
